capacity,environment,survival,start,control,year,all_pairs,individual_paired_survivors,density_paired_positive,individual_access_grid4_minus_grid3,individual_access_mcse,individual_investment_grid4_minus_grid3,individual_investment_mcse,density_access_grid4_minus_grid3,density_access_mcse,density_investment_grid4_minus_grid3,density_investment_mcse,extinction_difference,extinction_difference_mcse
48,mainland,0.0,0.7,neutral,10,16,16,16,-0.007074652777777496,0.00557486111442715,-0.00036892361111111674,0.005585447356478088,-0.0006727430555555428,0.0007517372805460691,-0.001345486111111075,0.0008674042695649751,0.0,0.0
48,mainland,0.0,0.7,neutral,40,16,16,16,-0.006553819444444255,0.018271084823562645,-0.004231770833333384,0.012892781562576677,-0.0006727430555555705,0.0007517372805461055,-0.0013454861111111514,0.000867404269564979,0.0,0.0
48,mainland,0.0,0.7,neutral,50,16,16,16,-0.0018446180555553165,0.01729639903535773,-0.001996527777777795,0.015791693769521414,-0.000672743055555515,0.0007517372805460951,-0.0013454861111112243,0.0008674042695649887,0.0,0.0
48,mainland,0.0,0.7,neutral,100,16,16,16,-0.004492187499999661,0.02277793808409418,0.0012586805555556135,0.018138522293447937,-0.0006727430555555497,0.0007517372805460879,-0.0013454861111111202,0.0008674042695649962,0.0,0.0
48,mainland,0.0,0.7,neutral,200,16,16,16,-0.004253472222221791,0.024607652607273905,-0.0019097222222221703,0.022253983017866037,-0.0006727430555555011,0.0007517372805460995,-0.0013454861111112035,0.0008674042695650037,0.0,0.0
48,mainland,0.0,0.7,neutral,400,16,16,16,-0.001692708333332904,0.02733273174171756,-0.008333333333333321,0.025184504348095976,-0.000672743055555515,0.0007517372805460944,-0.0013454861111111688,0.0008674042695649844,0.0,0.0
48,mainland,0.0,0.7,selected,10,16,16,16,0.010416666666666748,0.009531813929549347,-0.003298611111111162,0.009017867601899675,-0.0002105596783123359,0.0017667859121904665,-0.004171553068728531,0.0009749651805262746,0.0,0.0
48,mainland,0.0,0.7,selected,40,16,16,16,0.009461805555555695,0.013192407402452073,0.0014973958333333558,0.012012948824462487,0.00023475705321611418,0.0025240848164156935,-0.009406007744148952,0.0010234862588281645,0.0,0.0
48,mainland,0.0,0.7,selected,50,16,16,16,0.007009548611111242,0.014128973076848945,0.010004340277777846,0.012737433586698849,-0.0005780921698421426,0.0021681285152697844,-0.010306783142764744,0.0010142059424946494,0.0,0.0
48,mainland,0.0,0.7,selected,100,16,16,16,0.0034939236111113103,0.01854587286563846,0.008420138888889015,0.012370223148744895,2.0612991793962643e-05,0.002418718548329184,-0.011307417339278363,0.0010009863802747298,0.0,0.0
48,mainland,0.0,0.7,selected,200,16,16,16,0.005598958333333591,0.018593576415095528,1.491862189340054e-16,0.013263707095903745,-3.381875366727238e-05,0.0035148179036567327,-0.007363760140287147,0.0007900780137941037,0.0,0.0
48,mainland,0.0,0.7,selected,400,16,16,16,0.004166666666666936,0.01897244590725457,1.491862189340054e-16,0.013263707095903745,-0.007597279420194725,0.003876094406436405,-0.0020688092723184295,0.00034048318861206345,0.0,0.0
48,mainland,0.75,0.3,neutral,10,16,16,16,-8.68055555554477e-05,0.0026067695325504587,-0.0010416666666666248,0.002870452041102175,-0.000672743055555515,0.0007517372805460994,-0.0013454861111110404,0.0008674042695649881,0.0,0.0
48,mainland,0.75,0.3,neutral,40,16,16,16,0.009852430555555644,0.010901749101846783,0.008984375000000048,0.009484574572818413,-0.0006727430555555462,0.000751737280546094,-0.0013454861111111653,0.0008674042695649813,0.0,0.0
48,mainland,0.75,0.3,neutral,50,16,16,16,0.013194444444444512,0.01041386922313231,0.012630208333333368,0.009426986082899942,-0.0006727430555555358,0.000751737280546096,-0.001345486111111075,0.0008674042695649863,0.0,0.0
48,mainland,0.75,0.3,neutral,100,16,16,16,0.03439670138888904,0.016766719262311408,0.0024088541666668108,0.011617142182607504,-0.0006727430555554942,0.0007517372805460969,-0.0013454861111110612,0.0008674042695649954,0.0,0.0
48,mainland,0.75,0.3,neutral,200,16,16,16,0.030186631944444563,0.02021675034590204,-0.012348090277777737,0.017509693150163583,-0.0006727430555555323,0.0007517372805460931,-0.0013454861111110925,0.0008674042695650069,0.0,0.0
48,mainland,0.75,0.3,neutral,400,16,16,16,0.0378038194444445,0.0210067023201152,-0.004210069444444405,0.021831459161260048,-0.0006727430555555532,0.0007517372805460851,-0.001345486111111096,0.0008674042695649945,0.0,0.0
48,mainland,0.75,0.3,selected,10,16,16,16,-0.009027777777777687,0.003959576843337207,0.0004123263888888701,0.004696088962232387,-0.0008592257714330059,0.000719683756902138,-0.0011541470226023517,0.0008373911189077033,0.0,0.0
48,mainland,0.75,0.3,selected,40,16,16,16,0.0050781250000000965,0.009724282344149213,0.026215277777777865,0.011992327043648022,-0.0012881435933156764,0.0008495920448492977,-0.0006330948469062715,0.0008418702052169925,0.0,0.0
48,mainland,0.75,0.3,selected,50,16,16,16,0.005815972222222297,0.011168404262094669,0.031401909722222315,0.012819703100994877,-0.0012203270293977102,0.0009952043283590845,-0.0005834812282014996,0.0008476706998203503,0.0,0.0
48,mainland,0.75,0.3,selected,100,16,16,16,0.014320943813131376,0.012884027356309854,0.018574416035353543,0.014713830061626087,-0.0007085368512203868,0.0013914090767378458,-0.0003015348452661201,0.0008991467387940295,0.0,0.0
48,mainland,0.75,0.3,selected,200,16,16,16,0.028602430555555582,0.015315146422179795,-0.005230034722222242,0.01616450498271086,0.0011506747132563055,0.00174223222185788,0.00035141528002382433,0.0008495338413826795,0.0,0.0
48,mainland,0.75,0.3,selected,400,16,16,16,0.028450520833333326,0.016542702711550776,0.016796875000000076,0.01643113605286772,0.0019569346348482057,0.0029534510602896133,0.0014467754950285086,0.00113400304739292,0.0,0.0
48,mainland,0.75,0.7,neutral,10,16,16,16,-0.003320312499999749,0.0024135417977928708,-0.003949652777777767,0.003472348811349863,-0.0006727430555555566,0.0007517372805461146,-0.0013454861111111133,0.0008674042695649939,0.0,0.0
48,mainland,0.75,0.7,neutral,40,16,16,16,-0.01562499999999966,0.00698792809649542,0.0017795138888889069,0.009262163625076121,-0.0006727430555556677,0.0007517372805460935,-0.0013454861111111757,0.000867404269564992,0.0,0.0
48,mainland,0.75,0.7,neutral,50,16,16,16,-0.007204861111110766,0.008246284109460442,0.0057291666666666775,0.009331711616439269,-0.0006727430555554526,0.0007517372805460906,-0.001345486111111096,0.0008674042695649829,0.0,0.0
48,mainland,0.75,0.7,neutral,100,16,16,16,-0.01015347960992869,0.014930638852464267,0.015085235667848793,0.012499706083204913,-0.0006727430555555289,0.0007517372805460861,-0.001345486111111148,0.0008674042695649901,0.0,0.0
48,mainland,0.75,0.7,neutral,200,16,16,16,0.004969618055555958,0.019421870130911435,0.012521701388889004,0.014324108001450432,-0.0006727430555556121,0.0007517372805460891,-0.0013454861111111618,0.0008674042695649743,0.0,0.0
48,mainland,0.75,0.7,neutral,400,16,16,16,0.021744791666667034,0.021691499482790873,0.011786954365079497,0.02136334736563504,-0.0006727430555555011,0.0007517372805460965,-0.0013454861111110925,0.0008674042695649888,0.0,0.0
48,mainland,0.75,0.7,selected,10,16,16,16,-0.0047743055555553235,0.0042409348484304405,-0.00041232638888888395,0.0037403987424632205,-0.0007216758544770288,0.0008952894811485323,-0.001430241593313189,0.0008927746614065012,0.0,0.0
48,mainland,0.75,0.7,selected,40,16,16,16,0.0028211805555556912,0.006055758214599618,-0.0037543402777778408,0.00534130214594212,-0.0015381359943833217,0.0011959948346653394,-0.0015475345801641074,0.0009452614904437767,0.0,0.0
48,mainland,0.75,0.7,selected,50,16,16,16,0.0131727430555557,0.00715019763883164,0.0009331597222221946,0.005423758447924952,-0.0018727699272029566,0.0012993678436560524,-0.0015761318253802933,0.0009461642470201432,0.0,0.0
48,mainland,0.75,0.7,selected,100,16,16,16,-0.011197916666666377,0.014581352516489463,-0.008203124999999999,0.011331805046497204,-0.0029372740951708817,0.001598921686296539,-0.0014247238843858694,0.0010127337257898376,0.0,0.0
48,mainland,0.75,0.7,selected,200,16,16,16,-0.00870225694444407,0.018369457648332994,-0.015017361111111165,0.017912188443175218,-0.002759818589561834,0.0020150131691134515,-0.0008060709511957947,0.0011429896603976164,0.0,0.0
48,mainland,0.75,0.7,selected,400,16,16,16,0.008680555555555962,0.02140674984772809,0.0022352430555555892,0.02036671127182194,-0.00552961501972845,0.00250134627707312,0.0007637424108767991,0.0011621112604610787,0.0,0.0
192,both,0.0,0.3,neutral,10,16,16,16,-0.0018554687499997141,0.0038847536979665634,0.0015516493055555067,0.0032280879799773078,-0.00036349826388887285,0.0004324492961940617,0.00011935763888886244,0.0003897297966242295,0.0,0.0
192,both,0.0,0.3,neutral,40,16,16,16,0.01810980902777807,0.006853356220107946,0.01814778645833305,0.007252037773148877,-0.0003634982638888798,0.00043244929619404635,0.00011935763888889714,0.0003897297966242318,0.0,0.0
192,both,0.0,0.3,neutral,50,16,16,16,0.022580295138889064,0.008435475764050368,0.01741536458333315,0.009542055287745906,-0.0003634982638888659,0.0004324492961940593,0.00011935763888886938,0.0003897297966242367,0.0,0.0
192,both,0.0,0.3,neutral,100,16,16,16,0.015809461805555824,0.012583135427865292,-0.0007812499999998758,0.012997408520129277,-0.00036349826388888326,0.0004324492961940568,0.00011935763888890408,0.00038972979662424233,0.0,0.0
192,both,0.0,0.3,neutral,200,16,16,16,0.005067274305555949,0.017274205363551193,0.007535807291666537,0.017363975853688096,-0.0003634982638888347,0.0004324492961940617,0.0001193576388888902,0.00038972979662424027,0.0,0.0
192,both,0.0,0.3,neutral,400,16,16,16,0.005186631944444783,0.017443366159354455,0.021017795138888417,0.020381385381086702,-0.00036349826388874795,0.00043244929619407643,0.00011935763888887979,0.0003897297966242213,0.0,0.0
192,both,0.0,0.3,selected,10,16,16,16,0.004340277777778172,0.004241253176075273,0.0002604166666666796,0.00416462412561693,-0.0018861435949149088,0.0013187777808129305,-0.0006593837228267736,0.0004033495201639038,0.0,0.0
192,both,0.0,0.3,selected,40,16,16,16,0.011447482638889441,0.006857088892289084,-0.010894097222222166,0.006556027536110324,-0.0025303057452706907,0.0017336645228873439,0.0030310038322032377,0.0012715819741834773,0.0,0.0
192,both,0.0,0.3,selected,50,16,16,16,0.008865017361111774,0.008329519176050825,-0.014057074652777675,0.008558251058593416,-0.002936241381883399,0.0020755898681568213,0.004396173537510161,0.0012228133803479195,0.0,0.0
192,both,0.0,0.3,selected,100,16,16,16,0.013878038194444813,0.01338282236980925,-0.012711588541666603,0.012080930062416322,-0.0018618072372438167,0.0021873741805655206,0.007491513702575291,0.0011539553062619625,0.0,0.0
192,both,0.0,0.3,selected,200,16,16,16,0.03510742187500075,0.014698449580737348,-0.004871961805555363,0.00917632949796453,-0.0010732446590877142,0.0021257464366379124,0.007017351136216661,0.0008365608442145573,0.0,0.0
192,both,0.0,0.3,selected,400,16,16,16,0.050276692708334125,0.018632452776081432,-0.008333333333333269,0.009860132971832716,-0.0012669512712825074,0.003854931947049932,0.0018959656128572262,0.0008517700249673826,0.0,0.0
192,both,0.0,0.7,neutral,10,16,16,16,3.255208333352577e-05,0.0033081903105424922,0.0053222656249999785,0.003107102559158561,-0.0003634982638889214,0.00043244929619405936,0.00011935763888888326,0.00038972979662424325,0.0,0.0
192,both,0.0,0.7,neutral,40,16,16,16,-0.005197482638888737,0.009370028377161855,0.010091145833333263,0.01006034664185655,-0.0003634982638888451,0.0004324492961940453,0.00011935763888887285,0.00038972979662422737,0.0,0.0
192,both,0.0,0.7,neutral,50,16,16,16,-0.006738281249999888,0.01093509098100575,0.01082356770833311,0.011329351959321143,-0.0003634982638888659,0.00043244929619408803,0.0001193576388888555,0.0003897297966242495,0.0,0.0
192,both,0.0,0.7,neutral,100,16,16,16,-0.0077094184027778345,0.0172190444161104,-0.003705512152777618,0.017860452630061367,-0.0003634982638889006,0.0004324492961940656,0.00011935763888887979,0.000389729796624242,0.0,0.0
192,both,0.0,0.7,neutral,200,16,16,16,-0.026318359375000322,0.021603150357672418,0.0029134114583334765,0.019573249224616746,-0.00036349826388880346,0.0004324492961940583,0.00011935763888885897,0.00038972979662423604,0.0,0.0
192,both,0.0,0.7,neutral,400,16,16,16,-0.04317491319444506,0.025702535827290506,-1.6276041666655333e-05,0.020699119817273282,-0.000363498263888741,0.00043244929619407464,0.00011935763888887979,0.0003897297966242528,0.0,0.0
192,both,0.0,0.7,selected,10,16,16,16,-0.000130208333333319,0.0034517899264686265,-0.0009331597222221287,0.00395876400632854,0.0005010481190617366,0.0011166830266944787,-8.493494798235413e-06,0.0005811847758847451,0.0,0.0
192,both,0.0,0.7,selected,40,16,16,16,-0.002989366319444381,0.007954893541367894,0.0054199218749999695,0.009207235380912582,0.0021314628868241495,0.0016503598221187168,0.003350404201790353,0.001317685444076021,0.0,0.0
192,both,0.0,0.7,selected,50,16,16,16,-0.007812500000000187,0.008339920266385926,0.004812282986111131,0.00803845523477992,0.0014388494619936507,0.0018089525039400023,0.004340365327165231,0.0014501488664225527,0.0,0.0
192,both,0.0,0.7,selected,100,16,16,16,-0.00862630208333303,0.011923199076202639,-0.004861111111110875,0.01090856961176088,-0.00047232739392907147,0.001903851059390779,0.007799261461882857,0.0007929360274829611,0.0,0.0
192,both,0.0,0.7,selected,200,16,16,16,-0.006103515624999618,0.015779556689024612,-0.005463324652777511,0.013971702860398331,-0.0007154432045708634,0.0024888192585298297,0.006773447239533607,0.0008788347371522165,0.0,0.0
192,both,0.0,0.7,selected,400,16,16,16,-0.007080078124999674,0.016437071789953996,-0.009288194444444179,0.013980438290813402,0.0007009297320219668,0.0031815133058097043,0.0010716233275323839,0.0004439781877472493,0.0,0.0
192,both,0.75,0.3,neutral,10,16,16,16,0.0007812500000003893,0.000992206865879828,9.76562499999667e-05,0.0016331190326684866,-0.0003634982638888798,0.0004324492961940523,0.00011935763888887632,0.00038972979662424244,0.0,0.0
